,primaryTitle,averageRating,runtimeNumber,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,Production_Budget,Worldwide_Gross,Release_dt,gross_log,hyped
32295,Piranha 3D,5.4,88.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24000000,83660160,2010-08-20,18.242273448432606,False
32311,American Dreamz,5.4,107.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17000000,16510971,2006-04-21,16.619535687573393,False
32323,Hitman,6.3,100.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24000000,99135571,2007-11-21,18.411998885447872,False
32324,Igor,6.0,87.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22000000,31013349,2008-09-19,17.249928314909695,False
32326,Michael Clayton,7.2,119.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21500000,92987651,2007-10-05,18.347977268108707,True
32327,Notes on a Scandal,7.4,92.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27500000,50578411,2006-12-25,17.739035402904616,True
32328,Hostage,6.1,105.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75000000,77636443,2005-03-11,18.16754751408274,False
32330,Push,6.1,111.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38000000,49678401,2009-02-06,17.721080829210653,False
32331,Shoot 'Em Up,6.7,86.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39000000,26796824,2007-09-07,17.10379396831369,False
32333,My Super Ex-Girlfriend,5.1,96.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,30000000,60772856,2006-07-21,17.92265381633539,False
32349,Date Movie,2.8,83.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20000000,85146165,2006-02-17,18.259879937635294,False
32374,ATL,6.1,105.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000000,21170563,2006-03-31,16.868122284229955,False
32375,Margaret,6.4,150.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000,623292,2011-09-30,13.34277199218679,False
32378,The Omen,5.5,110.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,25000000,119295584,2006-06-06,18.597114878839342,False
32387,Max Payne,5.4,100.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000,87775050,2008-10-17,18.290287861049645,False
32388,The Other Boleyn Girl,6.7,115.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40000000,78269970,2008-02-29,18.175674575268623,False
32389,Juno,7.4,96.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,231450102,2007-12-05,19.259874870461978,True
32400,Half Nelson,7.2,106.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,4911725,2006-08-11,15.407135965494298,True
32404,Old Joy,6.7,76.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,399908,2006-08-25,12.898992300208068,False
32408,The Dark Knight,9.0,152.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185000000,1001996207,2008-07-18,20.725260055170786,True
32436,There Will Be Blood,8.1,158.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000,77208711,2007-12-26,18.162022858368886,True
32439,Things We Lost in the Fire,7.2,118.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000000,8120148,2007-10-19,15.9098590617232,True
32442,World Trade Center,5.9,129.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,65000000,163295654,2006-08-09,18.911072950115795,False
32453,The Express,7.3,130.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37500000,9813309,2008-10-10,16.09925018543662,True
32474,August,5.3,88.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400000,12636,2008-07-11,9.444384297758681,False
32485,For Your Consideration,6.3,86.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000,5549923,2006-11-17,15.529294791935165,False
32504,Tower Heist,6.2,104.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000000,150422946,2011-11-04,18.828961530980212,False
32522,9,7.1,79.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,48559999,2009-09-09,17.698310704715517,True
32523,Apocalypto,7.8,139.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000,121032272,2006-12-08,18.611567787006088,True
32525,Charlie Wilson's War,7.0,102.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000000,119512771,2007-12-21,18.59893380228581,False
32533,The Smurfs,5.4,103.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000000,563749323,2011-07-29,20.15012024966736,False
32535,Notorious,6.7,122.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000000,44972183,2009-01-16,17.621554723278088,False
32540,The Mechanic,6.6,93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42500000,76347393,2011-01-28,18.15080445676087,False
32559,Crossover,2.1,95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5600000,7009668,2006-09-01,15.762801039636326,False
32564,The Perfect Game,7.0,118.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12500000,3931367,2010-04-16,15.18449801487867,False
32571,Waitress,7.0,108.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1500000,22217183,2007-05-02,16.916376601471228,False
32601,September Dawn,5.8,111.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10100000,1066555,2007-08-24,13.879945323719442,False
32602,State of Play,7.1,127.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60000000,88832210,2009-04-17,18.302259878675912,True
32631,United 93,7.5,111.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18000000,77635035,2006-04-28,18.16752937810568,True
32634,"Hail, Caesar!",6.3,106.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22000000,64160680,2016-02-05,17.97690113555598,False
32665,The Covenant,5.3,97.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20000000,38164784,2006-09-08,17.457423789765066,False
32700,The Brave One,6.7,122.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000000,69792704,2007-09-14,18.061040049376764,False
32709,Premonition,5.9,96.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20000000,81461343,2007-03-16,18.2156391589436,False
32711,Unstoppable,6.7,98.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,95000000,165720921,2010-11-12,18.925815738759255,False
32722,Night at the Museum,6.4,108.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110000000,579446407,2006-12-22,20.177583736743667,False
32723,No Country for Old Men,8.1,122.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25000000,164035753,2007-11-09,18.91559497422239,True
